   0.00000000                  NaN
  0.100000001       7.46301225E-08
  0.200000003       0.00000000    
  0.300000012       0.00000000    
  0.400000006       7.65303554E-08
  0.500000000       6.21625631E-08
  0.600000024       1.05561739E-07
  0.699999988       0.00000000    
  0.800000012       0.00000000    
  0.900000036       0.00000000    
   1.00000000       7.08338703E-08
   1.10000002       6.68807800E-08
   1.20000005       0.00000000    
   1.30000007       6.18588913E-08
   1.39999998       1.81454141E-07
   1.50000000       0.00000000    
   1.60000002       1.78890218E-07
   1.70000005       3.00528171E-07
   1.80000007       4.89642446E-07
   1.89999998       9.44805663E-07
   2.00000000       2.16315721E-06
   2.10000014       3.86680267E-06
   2.20000005       7.81462040E-06
   2.29999995       1.46272941E-05
   2.40000010       2.71787303E-05
   2.50000000       5.06936958E-05
   2.60000014       9.51590773E-05
   2.70000005       1.80746982E-04
   2.79999995       3.57284589E-04
   2.90000010       7.62281707E-04
   3.00000000       1.93729880E-03
   3.10000014       9.69118811E-03

