   0.00000000                  NaN
  0.100000001       1.66858034E-03
  0.200000003       6.69793226E-03
  0.300000012       1.51590165E-02
  0.400000006       2.71730199E-02
  0.500000000       4.29147966E-02
  0.600000024       6.26193285E-02
  0.699999988       8.65892395E-02
  0.800000012      0.115206279    
  0.900000036      0.148945615    
   1.00000000      0.188395143    
   1.10000002      0.234280631    
   1.20000005      0.287499696    
   1.30000007      0.349166125    
   1.39999998      0.420671135    
   1.50000000      0.503766954    
   1.60000002      0.600682557    
   1.70000005      0.714288950    
   1.80000007      0.848338485    
   1.89999998       1.00781977    
   2.00000000       1.19950032    
   2.10000014       1.43278217    
   2.20000005       1.72110081    
   2.29999995       2.08432841    
   2.40000010       2.55311775    
   2.50000000       3.17730403    
   2.60000014       4.04363489    
   2.70000005       5.31756544    
   2.79999995       7.35850334    
   2.90000010       11.1212511    
   3.00000000       20.2585030    
   3.10000014       73.5541458     
